song_title,album_title,album_release_date_raw,album_release_date_iso,disc_number,track_number,release_group_mbid,release_mbid,recording_mbid
Tucson Train,Western Stars,2019-06-14,2019-06-14,1,3,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,ed818003-d492-40aa-8b01-29094ab249e5,a53f311a-c311-440b-a9c4-39fb327eea35
Western Stars,Western Stars,2019-06-14,2019-06-14,1,4,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,ed818003-d492-40aa-8b01-29094ab249e5,20613322-2d02-4a9c-b447-6cab891e6f6f
Sleepy Joe’s Café,Western Stars,2019-06-14,2019-06-14,1,5,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,ed818003-d492-40aa-8b01-29094ab249e5,058ca100-319d-4daf-8474-4180821e2d0b
Drive Fast (The Stuntman),Western Stars,2019-06-14,2019-06-14,1,6,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,ed818003-d492-40aa-8b01-29094ab249e5,cd1b6883-cf7a-46c3-9a8a-598ea2a0e07f
Chasin’ Wild Horses,Western Stars,2019-06-14,2019-06-14,1,7,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,ed818003-d492-40aa-8b01-29094ab249e5,d8282c36-d7e5-41a9-b545-c2959290de28
Sundown,Western Stars,2019-06-14,2019-06-14,1,8,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,ed818003-d492-40aa-8b01-29094ab249e5,f36c891e-c7e5-4137-9a2d-7ef5df9cfe90
Somewhere North of Nashville,Western Stars,2019-06-14,2019-06-14,1,9,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,ed818003-d492-40aa-8b01-29094ab249e5,00827575-1424-4dcf-ab38-7ca7ec17a1f0
Stones,Western Stars,2019-06-14,2019-06-14,1,10,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,ed818003-d492-40aa-8b01-29094ab249e5,55636ede-f0cc-47ad-9be4-e8f0412e0e54
There Goes My Miracle,Western Stars,2019-06-14,2019-06-14,1,11,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,ed818003-d492-40aa-8b01-29094ab249e5,24fed77a-f150-4648-b760-69debc5c1c0b
Hello Sunshine,Western Stars,2019-06-14,2019-06-14,1,12,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,ed818003-d492-40aa-8b01-29094ab249e5,2d0c412a-c803-4ec7-bbeb-871ce17680df
Moonlight Motel,Western Stars,2019-06-14,2019-06-14,1,13,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,ed818003-d492-40aa-8b01-29094ab249e5,94edf590-5211-42e4-a0ae-859edb64ccf6
One Minute You’re Here,Letter to You,2020-10-23,2020-10-23,1,1,48e335f3-8e4a-4e38-b2df-e1514b9f9126,babb4c54-bca0-4eb9-b444-369c34d3404d,876dcaa7-1bc1-44e7-b453-0ed7ec6bcba7
Letter to You,Letter to You,2020-10-23,2020-10-23,1,2,48e335f3-8e4a-4e38-b2df-e1514b9f9126,babb4c54-bca0-4eb9-b444-369c34d3404d,2b39dd01-c09b-4033-b0d2-731905349b97
Burnin’ Train,Letter to You,2020-10-23,2020-10-23,1,3,48e335f3-8e4a-4e38-b2df-e1514b9f9126,babb4c54-bca0-4eb9-b444-369c34d3404d,77fdfa52-c749-4cd5-a237-1cb35795f812
Janey Needs a Shooter,Letter to You,2020-10-23,2020-10-23,1,4,48e335f3-8e4a-4e38-b2df-e1514b9f9126,babb4c54-bca0-4eb9-b444-369c34d3404d,3aac87f1-6813-46b4-8c6a-bf705ac2e716
Last Man Standing,Letter to You,2020-10-23,2020-10-23,1,5,48e335f3-8e4a-4e38-b2df-e1514b9f9126,babb4c54-bca0-4eb9-b444-369c34d3404d,f505a6e1-3bef-4311-b190-081f1d8afcf3
The Power of Prayer,Letter to You,2020-10-23,2020-10-23,1,6,48e335f3-8e4a-4e38-b2df-e1514b9f9126,babb4c54-bca0-4eb9-b444-369c34d3404d,6beb50dc-d90a-4c8f-9b18-e49d7f4b3d23
House of a Thousand Guitars,Letter to You,2020-10-23,2020-10-23,1,7,48e335f3-8e4a-4e38-b2df-e1514b9f9126,babb4c54-bca0-4eb9-b444-369c34d3404d,8935af0e-8f4f-4b39-815a-fd41daf11447
Rainmaker,Letter to You,2020-10-23,2020-10-23,1,8,48e335f3-8e4a-4e38-b2df-e1514b9f9126,babb4c54-bca0-4eb9-b444-369c34d3404d,959ef5cc-2976-452c-b9e1-fdb156a0b3e5
If I Was the Priest,Letter to You,2020-10-23,2020-10-23,1,9,48e335f3-8e4a-4e38-b2df-e1514b9f9126,babb4c54-bca0-4eb9-b444-369c34d3404d,bccd7677-41e8-4bde-8eb5-ab5f89f63356
Ghosts,Letter to You,2020-10-23,2020-10-23,1,10,48e335f3-8e4a-4e38-b2df-e1514b9f9126,babb4c54-bca0-4eb9-b444-369c34d3404d,def386b4-ca2b-4571-af95-48f7a0e8b419
Song for Orphans,Letter to You,2020-10-23,2020-10-23,1,11,48e335f3-8e4a-4e38-b2df-e1514b9f9126,babb4c54-bca0-4eb9-b444-369c34d3404d,2c8ac419-6bf3-4a1c-9253-6022f9c30e60
I’ll See You in My Dreams,Letter to You,2020-10-23,2020-10-23,1,12,48e335f3-8e4a-4e38-b2df-e1514b9f9126,babb4c54-bca0-4eb9-b444-369c34d3404d,cebc4e51-3f46-4d08-9ffd-af55d069900c
Only the Strong Survive,"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,1,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,208eee95-25c4-4f22-a7e3-27811931d5c3
Soul Days,"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,2,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,7a3dfc11-f901-4b7b-9626-45eb557f16b9
Nightshift,"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,3,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,ac413c4f-f270-4c32-8adc-a17e3bd7b60f
Do I Love You (Indeed I Do),"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,4,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,22208708-427d-4e4f-991f-0bfd8e6a6bc0
The Sun Ain’t Gonna Shine Anymore,"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,5,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,15e864bc-f33a-4613-b7f1-39a169c77ca9
Turn Back the Hands of Time,"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,6,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,45016ac4-a459-4633-a7a7-afa285fd4ea4
When She Was My Girl,"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,7,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,0894f47c-7d14-471c-91d7-7bc2a82753f0
"Hey, Western Union Man","Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,8,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,c12cd929-a1ed-45b9-b79c-69c4d064aa3e
I Wish It Would Rain,"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,9,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,f139b071-5ce6-42d2-9063-55dbb8ec1931
Don’t Play That Song,"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,10,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,3845a406-7cef-489a-afda-7658f61be360
Any Other Way,"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,11,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,119fbb99-2db5-4d4c-a5f8-5ce0f92e94a5
I Forgot to Be Your Lover,"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,12,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,c738f9c9-bc00-49b4-803a-7373fab7cb87
7 Rooms of Gloom,"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,13,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,8b9d2015-60ed-4fea-8343-6b0795340a11
What Becomes of the Brokenhearted,"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,14,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,d03b4c75-c274-441c-9e13-7cc2d66dbff8
Someday We’ll Be Together,"Only the Strong Survive: Covers, Vol. 1",2022-11-11,2022-11-11,1,15,d6c1b942-edc7-4bca-bd34-6c43760272af,91d40c05-d40b-4bcb-92a7-554320b315fc,e4aac758-c075-4439-829e-f8624e465711
