song_title,album_title,album_release_date_raw,album_release_date_iso,disc_number,track_number,release_group_mbid,release_mbid,recording_mbid
I Wanna Marry You,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,2e11bbb7-a9ae-4444-88dc-c8b15a7c864f
The River,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,3d61ab67-bf40-4fa8-a74d-304853c8a508
Point Blank,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,3fbc5a86-db75-4ee7-aa24-daaa4659e8ae
Cadillac Ranch,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,a129b89d-aa65-44fc-b1fa-9fc77fac71d7
I’m a Rocker,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,fe3a4c76-08b3-43eb-984a-d1616c6d06aa
Fade Away,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,fea4cbff-08c2-4457-9d17-ae822ae8711d
Stolen Car,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,3a11bd43-0bee-485e-a53c-b5665e8ccccf
Ramrod,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,c6c9f899-aed8-4f59-bb7b-43cafbfe9e73
The Price You Pay,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,d7776044-8682-4700-85f8-91958bcf8343
Drive All Night,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,4d6e49ab-12b5-4a52-8e0d-fbedda68f250
Wreck on the Highway,The River,1980,1980-01-01,1,,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,93e1442e-6719-4be4-8f8a-d885a0f13dbb,75c79b14-ea07-4ac6-bbae-8f722264e760
Nebraska,Nebraska,1982,1982-01-01,1,,324aee0c-36ec-35c1-9c93-b67a1d428037,d84e45fc-07e9-4e4e-8cc4-7fc71a45aa5c,95fa8195-7bf9-4738-8682-23ce2a49fb0a
Atlantic City,Nebraska,1982,1982-01-01,1,,324aee0c-36ec-35c1-9c93-b67a1d428037,d84e45fc-07e9-4e4e-8cc4-7fc71a45aa5c,49a09711-fb05-495a-87eb-0346b14061bf
Mansion on the Hill,Nebraska,1982,1982-01-01,1,,324aee0c-36ec-35c1-9c93-b67a1d428037,d84e45fc-07e9-4e4e-8cc4-7fc71a45aa5c,fef68283-5157-4c74-a8dc-76a444eb679d
Johnny 99,Nebraska,1982,1982-01-01,1,,324aee0c-36ec-35c1-9c93-b67a1d428037,d84e45fc-07e9-4e4e-8cc4-7fc71a45aa5c,eae22cd3-750a-4e01-82e4-6df58b3d5070
Highway Patrolman,Nebraska,1982,1982-01-01,1,,324aee0c-36ec-35c1-9c93-b67a1d428037,d84e45fc-07e9-4e4e-8cc4-7fc71a45aa5c,82002f3e-b0ae-4d69-bbd4-92192d331b79
State Trooper,Nebraska,1982,1982-01-01,1,,324aee0c-36ec-35c1-9c93-b67a1d428037,d84e45fc-07e9-4e4e-8cc4-7fc71a45aa5c,d0af7ea0-b7b9-4236-b393-db3b2d2ce881
Used Cars,Nebraska,1982,1982-01-01,1,,324aee0c-36ec-35c1-9c93-b67a1d428037,d84e45fc-07e9-4e4e-8cc4-7fc71a45aa5c,bce60ecb-53b4-49e3-9661-183c76c4b563
Open All Night,Nebraska,1982,1982-01-01,1,,324aee0c-36ec-35c1-9c93-b67a1d428037,d84e45fc-07e9-4e4e-8cc4-7fc71a45aa5c,6c8fb1db-ac21-4363-846e-c2c2dcb3db10
My Father’s House,Nebraska,1982,1982-01-01,1,,324aee0c-36ec-35c1-9c93-b67a1d428037,d84e45fc-07e9-4e4e-8cc4-7fc71a45aa5c,9be6df53-1e1f-4d31-be2d-1f526cba533b
Reason to Believe,Nebraska,1982,1982-01-01,1,,324aee0c-36ec-35c1-9c93-b67a1d428037,d84e45fc-07e9-4e4e-8cc4-7fc71a45aa5c,c7e7f3f2-1edf-424a-a6a2-8d426001f24b
Born in the U.S.A.,Born in the U.S.A.,1984,1984-01-01,1,,3c39a076-8e52-38f2-8076-260d0672fb23,6be95ac7-748f-4591-8557-6eab3b1c57b1,7cafa219-936c-45d0-9673-af298ad1589e
Cover Me,Born in the U.S.A.,1984,1984-01-01,1,,3c39a076-8e52-38f2-8076-260d0672fb23,6be95ac7-748f-4591-8557-6eab3b1c57b1,d9d15e0e-3e1d-4ba1-8c1b-628e45035e5e
