pct_played_prior,catalog_size_at_play_date,interaction_pct_x_catalog,pct_played_recent_180,played,play_date_iso,song_title
6.90,233,1607.7000,0.00,0,2016-03-03,Real World
1.94,76,147.4400,0.00,0,1984-06-21,Mary Queen of Arkansas
54.17,76,4116.9200,54.17,1,1984-11-29,Johnny 99
16.00,54,864.0000,16.00,1,1981-01-21,Fade Away
96.59,76,7340.8400,94.29,1,1984-08-29,The Promised Land
35.76,124,4434.2400,0.00,0,1997-02-17,Backstreets
33.72,139,4687.0800,10.64,0,2003-06-28,Backstreets
59.58,139,8281.6200,42.86,1,2003-05-24,Bobby Jean
79.03,139,10985.1700,69.23,1,2002-09-27,Born in the U.S.A.
0.00,211,0.0000,0.00,0,2010-09-11,Wrong Side of the Street
16.67,54,900.1800,16.67,1,1981-01-28,Fade Away
11.01,54,594.5400,0.00,0,1981-07-05,Does This Bus Stop at 82nd Street?
53.57,54,2892.7800,50.00,1,1981-01-24,Candy’s Room
38.52,222,8551.4400,94.44,1,2012-10-25,Tenth Avenue Freeze‐Out
41.05,76,3119.8000,51.35,1,1985-01-26,Downbound Train
23.65,76,1797.4000,1.89,0,1985-04-03,Night
23.35,190,4436.5000,6.25,1,2009-04-22,She’s the One
33.58,139,4667.6200,0.00,1,2002-08-02,Ramrod
66.67,88,5866.9600,83.33,1,1988-03-17,Spare Parts
79.49,24,1907.7600,92.11,1,1976-03-25,Tenth Avenue Freeze‐Out
94.34,112,10566.0800,72.41,1,1992-08-10,Born to Run
48.94,124,6068.5600,0.00,0,1996-09-19,Souls of the Departed
11.44,139,1590.1600,3.70,1,2002-09-29,Night
71.22,124,8831.2800,0.00,1,1998-01-31,Thunder Road
0.00,222,0.0000,0.00,0,2012-07-24,Froggie Went a Courtin’
38.35,124,4755.4000,0.00,0,1996-04-20,Backstreets
8.22,124,1019.2800,0.00,0,1995-07-09,Mansion on the Hill
69.23,139,9622.9700,69.23,1,2002-08-14,Worlds Apart
7.07,54,381.7800,0.00,0,1981-04-26,Lost in the Flood
