song_title,album_release_date_iso,play_date_iso,years_since_release
Lonesome Day,2002-01-01,2025-06-04,23.42
Land of Hope and Dreams,2012-01-01,2025-06-04,13.42
Death to My Hometown,2012-01-01,2025-06-04,13.42
No Surrender,1984-01-01,2025-06-04,41.42
Rainmaker,2020-10-23,2025-06-04,4.61
Atlantic City,1982-01-01,2025-06-04,43.42
The Promised Land,1978-01-01,2025-06-04,47.42
Hungry Heart,1980-01-01,2025-06-04,45.42
The River,1980-01-01,2025-06-04,45.42
Youngstown,1995-01-01,2025-06-04,30.42
Long Walk Home,2007-01-01,2025-06-04,18.42
House of a Thousand Guitars,2020-10-23,2025-06-04,4.61
My City of Ruins,2002-01-01,2025-06-04,23.42
Because the Night,2010-01-01,2025-06-04,15.42
Wrecking Ball,2012-01-01,2025-06-04,13.42
The Rising,2002-01-01,2025-06-04,23.42
Badlands,1978-01-01,2025-06-04,47.42
Thunder Road,1975-01-01,2025-06-04,50.42
Born in the U.S.A.,1984-01-01,2025-06-04,41.42
Born to Run,1975-01-01,2025-06-04,50.42
Bobby Jean,1984-01-01,2025-06-04,41.42
Dancing in the Dark,1984-01-01,2025-06-04,41.42
Tenth Avenue Freeze‐Out,1975-01-01,2025-06-04,50.42
Land of Hope and Dreams,2012-01-01,2025-05-31,13.41
No Surrender,1984-01-01,2025-05-31,41.41
Death to My Hometown,2012-01-01,2025-05-31,13.41
Lonesome Day,2002-01-01,2025-05-31,23.41
Rainmaker,2020-10-23,2025-05-31,4.60
Darkness on the Edge of Town,1978-01-01,2025-05-31,47.41
The Promised Land,1978-01-01,2025-05-31,47.41
Hungry Heart,1980-01-01,2025-05-31,45.41
The River,1980-01-01,2025-05-31,45.41
Youngstown,1995-01-01,2025-05-31,30.41
Long Walk Home,2007-01-01,2025-05-31,18.41
House of a Thousand Guitars,2020-10-23,2025-05-31,4.60
My City of Ruins,2002-01-01,2025-05-31,23.41
Because the Night,2010-01-01,2025-05-31,15.41
Wrecking Ball,2012-01-01,2025-05-31,13.41
The Rising,2002-01-01,2025-05-31,23.41
Badlands,1978-01-01,2025-05-31,47.41
Thunder Road,1975-01-01,2025-05-31,50.41
Born in the U.S.A.,1984-01-01,2025-05-31,41.41
Born to Run,1975-01-01,2025-05-31,50.41
Bobby Jean,1984-01-01,2025-05-31,41.41
Dancing in the Dark,1984-01-01,2025-05-31,41.41
Tenth Avenue Freeze‐Out,1975-01-01,2025-05-31,50.41
Land of Hope and Dreams,2012-01-01,2025-05-27,13.40
Death to My Hometown,2012-01-01,2025-05-27,13.40
Lonesome Day,2002-01-01,2025-05-27,23.40
Rainmaker,2020-10-23,2025-05-27,4.59
Darkness on the Edge of Town,1978-01-01,2025-05-27,47.40
The Promised Land,1978-01-01,2025-05-27,47.40
Hungry Heart,1980-01-01,2025-05-27,45.40
The River,1980-01-01,2025-05-27,45.40
My Hometown,1984-01-01,2025-05-27,41.40
Youngstown,1995-01-01,2025-05-27,30.40
Long Walk Home,2007-01-01,2025-05-27,18.40
House of a Thousand Guitars,2020-10-23,2025-05-27,4.59
My City of Ruins,2002-01-01,2025-05-27,23.40
Because the Night,2010-01-01,2025-05-27,15.40
Wrecking Ball,2012-01-01,2025-05-27,13.40
The Rising,2002-01-01,2025-05-27,23.40
Badlands,1978-01-01,2025-05-27,47.40
Thunder Road,1975-01-01,2025-05-27,50.40
Born in the U.S.A.,1984-01-01,2025-05-27,41.40
Born to Run,1975-01-01,2025-05-27,50.40
Glory Days,1984-01-01,2025-05-27,41.40
Dancing in the Dark,1984-01-01,2025-05-27,41.40
Tenth Avenue Freeze‐Out,1975-01-01,2025-05-27,50.40
No Surrender,1984-01-01,2025-05-24,41.39
Land of Hope and Dreams,2012-01-01,2025-05-24,13.39
Death to My Hometown,2012-01-01,2025-05-24,13.39
Lonesome Day,2002-01-01,2025-05-24,23.39
Rainmaker,2020-10-23,2025-05-24,4.58
The Promised Land,1978-01-01,2025-05-24,47.39
