song_title,album_release_date_iso,play_date_iso,years_since_release
Livin’ in the Future,2007-01-01,2007-11-04,0.84
The Promised Land,1978-01-01,2007-11-04,29.84
Tunnel of Love,1987-01-01,2007-11-04,20.84
Devil’s Arcade,2007-01-01,2007-11-04,0.84
The Rising,2002-01-01,2007-11-04,5.84
Last to Die,2007-01-01,2007-11-04,0.84
Long Walk Home,2007-01-01,2007-11-04,0.84
Badlands,1978-01-01,2007-11-04,29.84
Girls in Their Summer Clothes,2007-01-01,2007-11-04,0.84
Kitty’s Back,1973-01-01,2007-11-04,34.84
Born to Run,1975-01-01,2007-11-04,32.84
Dancing in the Dark,1984-01-01,2007-11-04,23.84
Radio Nowhere,2007-01-01,2007-11-02,0.84
No Surrender,1984-01-01,2007-11-02,23.84
Lonesome Day,2002-01-01,2007-11-02,5.83
Gypsy Biker,2007-01-01,2007-11-02,0.84
Magic,2007-01-01,2007-11-02,0.84
Reason to Believe,1982-01-01,2007-11-02,25.83
Night,1975-01-01,2007-11-02,32.84
She’s the One,1975-01-01,2007-11-02,32.84
Livin’ in the Future,2007-01-01,2007-11-02,0.84
The Promised Land,1978-01-01,2007-11-02,29.83
Your Own Worst Enemy,2007-01-01,2007-11-02,0.84
Incident on 57th Street,1973-01-01,2007-11-02,34.83
Working on the Highway,1984-01-01,2007-11-02,23.84
Devil’s Arcade,2007-01-01,2007-11-02,0.84
The Rising,2002-01-01,2007-11-02,5.83
Last to Die,2007-01-01,2007-11-02,0.84
Long Walk Home,2007-01-01,2007-11-02,0.84
Badlands,1978-01-01,2007-11-02,29.83
Girls in Their Summer Clothes,2007-01-01,2007-11-02,0.84
Thunder Road,1975-01-01,2007-11-02,32.84
Born to Run,1975-01-01,2007-11-02,32.84
Dancing in the Dark,1984-01-01,2007-11-02,23.84
Radio Nowhere,2007-01-01,2007-10-30,0.83
The Ties That Bind,1980-01-01,2007-10-30,27.83
Lonesome Day,2002-01-01,2007-10-30,5.83
Gypsy Biker,2007-01-01,2007-10-30,0.83
Magic,2007-01-01,2007-10-30,0.83
Reason to Believe,1982-01-01,2007-10-30,25.83
Night,1975-01-01,2007-10-30,32.83
She’s the One,1975-01-01,2007-10-30,32.83
Livin’ in the Future,2007-01-01,2007-10-30,0.83
The Promised Land,1978-01-01,2007-10-30,29.83
Tunnel of Love,1987-01-01,2007-10-30,20.83
Working on the Highway,1984-01-01,2007-10-30,23.83
Devil’s Arcade,2007-01-01,2007-10-30,0.83
The Rising,2002-01-01,2007-10-30,5.83
Last to Die,2007-01-01,2007-10-30,0.83
Long Walk Home,2007-01-01,2007-10-30,0.83
Badlands,1978-01-01,2007-10-30,29.83
Girls in Their Summer Clothes,2007-01-01,2007-10-30,0.83
Kitty’s Back,1973-01-01,2007-10-30,34.83
Born to Run,1975-01-01,2007-10-30,32.83
Dancing in the Dark,1984-01-01,2007-10-30,23.83
Radio Nowhere,2007-01-01,2007-10-29,0.82
No Surrender,1984-01-01,2007-10-29,23.83
Lonesome Day,2002-01-01,2007-10-29,5.82
Gypsy Biker,2007-01-01,2007-10-29,0.82
Magic,2007-01-01,2007-10-29,0.82
Reason to Believe,1982-01-01,2007-10-29,25.82
Candy’s Room,1978-01-01,2007-10-29,29.82
She’s the One,1975-01-01,2007-10-29,32.82
Livin’ in the Future,2007-01-01,2007-10-29,0.82
The Promised Land,1978-01-01,2007-10-29,29.82
Backstreets,1975-01-01,2007-10-29,32.82
Working on the Highway,1984-01-01,2007-10-29,23.83
Devil’s Arcade,2007-01-01,2007-10-29,0.82
The Rising,2002-01-01,2007-10-29,5.82
Last to Die,2007-01-01,2007-10-29,0.82
Long Walk Home,2007-01-01,2007-10-29,0.82
Badlands,1978-01-01,2007-10-29,29.82
Girls in Their Summer Clothes,2007-01-01,2007-10-29,0.82
Born to Run,1975-01-01,2007-10-29,32.82
Dancing in the Dark,1984-01-01,2007-10-29,23.83
Radio Nowhere,2007-01-01,2007-10-26,0.82
No Surrender,1984-01-01,2007-10-26,23.82
Lonesome Day,2002-01-01,2007-10-26,5.82
Gypsy Biker,2007-01-01,2007-10-26,0.82
Magic,2007-01-01,2007-10-26,0.82
Reason to Believe,1982-01-01,2007-10-26,25.82
Two Hearts,1980-01-01,2007-10-26,27.82
She’s the One,1975-01-01,2007-10-26,32.82
Livin’ in the Future,2007-01-01,2007-10-26,0.82
The Promised Land,1978-01-01,2007-10-26,29.82
Tunnel of Love,1987-01-01,2007-10-26,20.82
Racing in the Street,1978-01-01,2007-10-26,29.82
Working on the Highway,1984-01-01,2007-10-26,23.82
Devil’s Arcade,2007-01-01,2007-10-26,0.82
The Rising,2002-01-01,2007-10-26,5.82
Last to Die,2007-01-01,2007-10-26,0.82
Long Walk Home,2007-01-01,2007-10-26,0.82
Badlands,1978-01-01,2007-10-26,29.82
Girls in Their Summer Clothes,2007-01-01,2007-10-26,0.82
Born to Run,1975-01-01,2007-10-26,32.82
Dancing in the Dark,1984-01-01,2007-10-26,23.82
Radio Nowhere,2007-01-01,2007-10-25,0.81
The Ties That Bind,1980-01-01,2007-10-25,27.81
Lonesome Day,2002-01-01,2007-10-25,5.81
Gypsy Biker,2007-01-01,2007-10-25,0.81
Magic,2007-01-01,2007-10-25,0.81
Reason to Believe,1982-01-01,2007-10-25,25.81
Adam Raised a Cain,1978-01-01,2007-10-25,29.81
She’s the One,1975-01-01,2007-10-25,32.81
Livin’ in the Future,2007-01-01,2007-10-25,0.81
The Promised Land,1978-01-01,2007-10-25,29.81
Backstreets,1975-01-01,2007-10-25,32.81
Your Own Worst Enemy,2007-01-01,2007-10-25,0.81
Devil’s Arcade,2007-01-01,2007-10-25,0.81
The Rising,2002-01-01,2007-10-25,5.81
Last to Die,2007-01-01,2007-10-25,0.81
Long Walk Home,2007-01-01,2007-10-25,0.81
Badlands,1978-01-01,2007-10-25,29.81
Girls in Their Summer Clothes,2007-01-01,2007-10-25,0.81
Thunder Road,1975-01-01,2007-10-25,32.81
Born to Run,1975-01-01,2007-10-25,32.81
Dancing in the Dark,1984-01-01,2007-10-25,23.81
Radio Nowhere,2007-01-01,2007-10-22,0.80
Prove It All Night,1978-01-01,2007-10-22,29.80
Lonesome Day,2002-01-01,2007-10-22,5.80
Gypsy Biker,2007-01-01,2007-10-22,0.80
Magic,2007-01-01,2007-10-22,0.80
Reason to Believe,1982-01-01,2007-10-22,25.80
Candy’s Room,1978-01-01,2007-10-22,29.80
She’s the One,1975-01-01,2007-10-22,32.81
Livin’ in the Future,2007-01-01,2007-10-22,0.80
The Promised Land,1978-01-01,2007-10-22,29.80
Tunnel of Love,1987-01-01,2007-10-22,20.81
Spirit in the Night,1973-01-01,2007-10-22,34.80
Darlington County,1984-01-01,2007-10-22,23.81
Devil’s Arcade,2007-01-01,2007-10-22,0.80
The Rising,2002-01-01,2007-10-22,5.80
Last to Die,2007-01-01,2007-10-22,0.80
Long Walk Home,2007-01-01,2007-10-22,0.80
Badlands,1978-01-01,2007-10-22,29.80
Thunder Road,1975-01-01,2007-10-22,32.81
Born to Run,1975-01-01,2007-10-22,32.81
Dancing in the Dark,1984-01-01,2007-10-22,23.81
Radio Nowhere,2007-01-01,2007-10-21,0.80
No Surrender,1984-01-01,2007-10-21,23.80
Lonesome Day,2002-01-01,2007-10-21,5.80
Gypsy Biker,2007-01-01,2007-10-21,0.80
Magic,2007-01-01,2007-10-21,0.80
Reason to Believe,1982-01-01,2007-10-21,25.80
Adam Raised a Cain,1978-01-01,2007-10-21,29.80
She’s the One,1975-01-01,2007-10-21,32.80
Livin’ in the Future,2007-01-01,2007-10-21,0.80
The Promised Land,1978-01-01,2007-10-21,29.80
Your Own Worst Enemy,2007-01-01,2007-10-21,0.80
Backstreets,1975-01-01,2007-10-21,32.80
Cadillac Ranch,1980-01-01,2007-10-21,27.80
Devil’s Arcade,2007-01-01,2007-10-21,0.80
The Rising,2002-01-01,2007-10-21,5.80
Last to Die,2007-01-01,2007-10-21,0.80
Long Walk Home,2007-01-01,2007-10-21,0.80
Badlands,1978-01-01,2007-10-21,29.80
Girls in Their Summer Clothes,2007-01-01,2007-10-21,0.80
Born to Run,1975-01-01,2007-10-21,32.80
Dancing in the Dark,1984-01-01,2007-10-21,23.80
Radio Nowhere,2007-01-01,2007-10-18,0.79
Night,1975-01-01,2007-10-18,32.79
Lonesome Day,2002-01-01,2007-10-18,5.79
Gypsy Biker,2007-01-01,2007-10-18,0.79
Magic,2007-01-01,2007-10-18,0.79
Reason to Believe,1982-01-01,2007-10-18,25.79
Candy’s Room,1978-01-01,2007-10-18,29.79
She’s the One,1975-01-01,2007-10-18,32.79
Livin’ in the Future,2007-01-01,2007-10-18,0.79
The Promised Land,1978-01-01,2007-10-18,29.79
Tougher Than the Rest,1987-01-01,2007-10-18,20.79
Meeting Across the River,1975-01-01,2007-10-18,32.79
Jungleland,1975-01-01,2007-10-18,32.79
You Can Look (but You Better Not Touch),1980-01-01,2007-10-18,27.80
Devil’s Arcade,2007-01-01,2007-10-18,0.79
The Rising,2002-01-01,2007-10-18,5.79
Last to Die,2007-01-01,2007-10-18,0.79
Long Walk Home,2007-01-01,2007-10-18,0.79
Badlands,1978-01-01,2007-10-18,29.79
Girls in Their Summer Clothes,2007-01-01,2007-10-18,0.79
Born to Run,1975-01-01,2007-10-18,32.79
Dancing in the Dark,1984-01-01,2007-10-18,23.80
Radio Nowhere,2007-01-01,2007-10-17,0.79
The Ties That Bind,1980-01-01,2007-10-17,27.79
Lonesome Day,2002-01-01,2007-10-17,5.79
Gypsy Biker,2007-01-01,2007-10-17,0.79
Magic,2007-01-01,2007-10-17,0.79
Reason to Believe,1982-01-01,2007-10-17,25.79
Adam Raised a Cain,1978-01-01,2007-10-17,29.79
She’s the One,1975-01-01,2007-10-17,32.79
Livin’ in the Future,2007-01-01,2007-10-17,0.79
The Promised Land,1978-01-01,2007-10-17,29.79
Brilliant Disguise,1987-01-01,2007-10-17,20.79
Backstreets,1975-01-01,2007-10-17,32.79
Darlington County,1984-01-01,2007-10-17,23.79
Devil’s Arcade,2007-01-01,2007-10-17,0.79
The Rising,2002-01-01,2007-10-17,5.79
Last to Die,2007-01-01,2007-10-17,0.79
Long Walk Home,2007-01-01,2007-10-17,0.79
Badlands,1978-01-01,2007-10-17,29.79
Girls in Their Summer Clothes,2007-01-01,2007-10-17,0.79
Born to Run,1975-01-01,2007-10-17,32.79
Dancing in the Dark,1984-01-01,2007-10-17,23.79
Radio Nowhere,2007-01-01,2007-10-15,0.79
Night,1975-01-01,2007-10-15,32.79
Lonesome Day,2002-01-01,2007-10-15,5.79
Gypsy Biker,2007-01-01,2007-10-15,0.79
For You,1973-01-01,2007-10-15,34.79
Magic,2007-01-01,2007-10-15,0.79
Reason to Believe,1982-01-01,2007-10-15,25.79
Candy’s Room,1978-01-01,2007-10-15,29.79
She’s the One,1975-01-01,2007-10-15,32.79
Livin’ in the Future,2007-01-01,2007-10-15,0.79
The Promised Land,1978-01-01,2007-10-15,29.79
Incident on 57th Street,1973-01-01,2007-10-15,34.79
Darlington County,1984-01-01,2007-10-15,23.79
Devil’s Arcade,2007-01-01,2007-10-15,0.79
The Rising,2002-01-01,2007-10-15,5.79
Last to Die,2007-01-01,2007-10-15,0.79
Long Walk Home,2007-01-01,2007-10-15,0.79
Badlands,1978-01-01,2007-10-15,29.79
Girls in Their Summer Clothes,2007-01-01,2007-10-15,0.79
Born to Run,1975-01-01,2007-10-15,32.79
Dancing in the Dark,1984-01-01,2007-10-15,23.79
Radio Nowhere,2007-01-01,2007-10-14,0.78
The Ties That Bind,1980-01-01,2007-10-14,27.78
Lonesome Day,2002-01-01,2007-10-14,5.78
Gypsy Biker,2007-01-01,2007-10-14,0.78
Magic,2007-01-01,2007-10-14,0.78
Reason to Believe,1982-01-01,2007-10-14,25.78
Adam Raised a Cain,1978-01-01,2007-10-14,29.78
She’s the One,1975-01-01,2007-10-14,32.78
Livin’ in the Future,2007-01-01,2007-10-14,0.78
The Promised Land,1978-01-01,2007-10-14,29.78
Tougher Than the Rest,1987-01-01,2007-10-14,20.78
Backstreets,1975-01-01,2007-10-14,32.78
Darlington County,1984-01-01,2007-10-14,23.78
Devil’s Arcade,2007-01-01,2007-10-14,0.78
The Rising,2002-01-01,2007-10-14,5.78
Last to Die,2007-01-01,2007-10-14,0.78
Long Walk Home,2007-01-01,2007-10-14,0.78
Badlands,1978-01-01,2007-10-14,29.78
Girls in Their Summer Clothes,2007-01-01,2007-10-14,0.78
State Trooper,1982-01-01,2007-10-14,25.78
Born to Run,1975-01-01,2007-10-14,32.78
Dancing in the Dark,1984-01-01,2007-10-14,23.78
Radio Nowhere,2007-01-01,2007-10-10,0.77
Night,1975-01-01,2007-10-10,32.77
Lonesome Day,2002-01-01,2007-10-10,5.77
Gypsy Biker,2007-01-01,2007-10-10,0.77
Magic,2007-01-01,2007-10-10,0.77
Reason to Believe,1982-01-01,2007-10-10,25.77
Adam Raised a Cain,1978-01-01,2007-10-10,29.77
She’s the One,1975-01-01,2007-10-10,32.77
Livin’ in the Future,2007-01-01,2007-10-10,0.77
The Promised Land,1978-01-01,2007-10-10,29.77
Incident on 57th Street,1973-01-01,2007-10-10,34.77
Your Own Worst Enemy,2007-01-01,2007-10-10,0.77
You Can Look (but You Better Not Touch),1980-01-01,2007-10-10,27.77
Devil’s Arcade,2007-01-01,2007-10-10,0.77
The Rising,2002-01-01,2007-10-10,5.77
Last to Die,2007-01-01,2007-10-10,0.77
Long Walk Home,2007-01-01,2007-10-10,0.77
Badlands,1978-01-01,2007-10-10,29.77
Girls in Their Summer Clothes,2007-01-01,2007-10-10,0.77
Born to Run,1975-01-01,2007-10-10,32.77
Dancing in the Dark,1984-01-01,2007-10-10,23.77
Radio Nowhere,2007-01-01,2007-10-09,0.77
No Surrender,1984-01-01,2007-10-09,23.77
Lonesome Day,2002-01-01,2007-10-09,5.77
Gypsy Biker,2007-01-01,2007-10-09,0.77
Magic,2007-01-01,2007-10-09,0.77
Reason to Believe,1982-01-01,2007-10-09,25.77
Candy’s Room,1978-01-01,2007-10-09,29.77
She’s the One,1975-01-01,2007-10-09,32.77
Livin’ in the Future,2007-01-01,2007-10-09,0.77
The Promised Land,1978-01-01,2007-10-09,29.77
Darkness on the Edge of Town,1978-01-01,2007-10-09,29.77
Brilliant Disguise,1987-01-01,2007-10-09,20.77
Darlington County,1984-01-01,2007-10-09,23.77
Devil’s Arcade,2007-01-01,2007-10-09,0.77
The Rising,2002-01-01,2007-10-09,5.77
Last to Die,2007-01-01,2007-10-09,0.77
Long Walk Home,2007-01-01,2007-10-09,0.77
Badlands,1978-01-01,2007-10-09,29.77
Girls in Their Summer Clothes,2007-01-01,2007-10-09,0.77
Born to Run,1975-01-01,2007-10-09,32.77
Dancing in the Dark,1984-01-01,2007-10-09,23.77
Night,1975-01-01,2007-10-06,32.76
Radio Nowhere,2007-01-01,2007-10-06,0.76
Prove It All Night,1978-01-01,2007-10-06,29.76
Gypsy Biker,2007-01-01,2007-10-06,0.76
Magic,2007-01-01,2007-10-06,0.76
Reason to Believe,1982-01-01,2007-10-06,25.76
The Ties That Bind,1980-01-01,2007-10-06,27.76
She’s the One,1975-01-01,2007-10-06,32.76
Livin’ in the Future,2007-01-01,2007-10-06,0.76
The Promised Land,1978-01-01,2007-10-06,29.76
Incident on 57th Street,1973-01-01,2007-10-06,34.76
Cadillac Ranch,1980-01-01,2007-10-06,27.76
Devil’s Arcade,2007-01-01,2007-10-06,0.76
The Rising,2002-01-01,2007-10-06,5.76
Last to Die,2007-01-01,2007-10-06,0.76
Long Walk Home,2007-01-01,2007-10-06,0.76
Badlands,1978-01-01,2007-10-06,29.76
Girls in Their Summer Clothes,2007-01-01,2007-10-06,0.76
Born to Run,1975-01-01,2007-10-06,32.76
Dancing in the Dark,1984-01-01,2007-10-06,23.76
Radio Nowhere,2007-01-01,2007-10-05,0.76
No Surrender,1984-01-01,2007-10-05,23.76
Lonesome Day,2002-01-01,2007-10-05,5.76
Gypsy Biker,2007-01-01,2007-10-05,0.76
Magic,2007-01-01,2007-10-05,0.76
Reason to Believe,1982-01-01,2007-10-05,25.76
Candy’s Room,1978-01-01,2007-10-05,29.76
She’s the One,1975-01-01,2007-10-05,32.76
Livin’ in the Future,2007-01-01,2007-10-05,0.76
The Promised Land,1978-01-01,2007-10-05,29.76
Brilliant Disguise,1987-01-01,2007-10-05,20.76
My Hometown,1984-01-01,2007-10-05,23.76
Darlington County,1984-01-01,2007-10-05,23.76
Devil’s Arcade,2007-01-01,2007-10-05,0.76
The Rising,2002-01-01,2007-10-05,5.76
Last to Die,2007-01-01,2007-10-05,0.76
Long Walk Home,2007-01-01,2007-10-05,0.76
Badlands,1978-01-01,2007-10-05,29.76
Girls in Their Summer Clothes,2007-01-01,2007-10-05,0.76
Born to Run,1975-01-01,2007-10-05,32.76
Waitin’ on a Sunny Day,2002-01-01,2007-10-05,5.76
Radio Nowhere,2007-01-01,2007-10-02,0.75
The Ties That Bind,1980-01-01,2007-10-02,27.75
Lonesome Day,2002-01-01,2007-10-02,5.75
Gypsy Biker,2007-01-01,2007-10-02,0.75
Magic,2007-01-01,2007-10-02,0.75
Reason to Believe,1982-01-01,2007-10-02,25.75
Night,1975-01-01,2007-10-02,32.75
She’s the One,1975-01-01,2007-10-02,32.75
Livin’ in the Future,2007-01-01,2007-10-02,0.75
The Promised Land,1978-01-01,2007-10-02,29.75
Darkness on the Edge of Town,1978-01-01,2007-10-02,29.75
Darlington County,1984-01-01,2007-10-02,23.75
Devil’s Arcade,2007-01-01,2007-10-02,0.75
The Rising,2002-01-01,2007-10-02,5.75
Last to Die,2007-01-01,2007-10-02,0.75
Long Walk Home,2007-01-01,2007-10-02,0.75
Badlands,1978-01-01,2007-10-02,29.75
Girls in Their Summer Clothes,2007-01-01,2007-10-02,0.75
Born to Run,1975-01-01,2007-10-02,32.75
Waitin’ on a Sunny Day,2002-01-01,2007-10-02,5.75
The Promised Land,1978-01-01,2007-09-28,29.74
Radio Nowhere,2007-01-01,2007-09-28,0.74
Livin’ in the Future,2007-01-01,2007-09-28,0.74
My Hometown,1984-01-01,2007-09-28,23.74
Night,1975-01-01,2007-09-28,32.74
Last to Die,2007-01-01,2007-09-28,0.74
Long Walk Home,2007-01-01,2007-09-28,0.74
Radio Nowhere,2007-01-01,2007-09-28,0.74
The Ties That Bind,1980-01-01,2007-09-28,27.74
Lonesome Day,2002-01-01,2007-09-28,5.74
Gypsy Biker,2007-01-01,2007-09-28,0.74
Magic,2007-01-01,2007-09-28,0.74
Candy’s Room,1978-01-01,2007-09-28,29.74
She’s the One,1975-01-01,2007-09-28,32.74
Livin’ in the Future,2007-01-01,2007-09-28,0.74
The Promised Land,1978-01-01,2007-09-28,29.74
Reason to Believe,1982-01-01,2007-09-28,25.74
Darlington County,1984-01-01,2007-09-28,23.74
Born in the U.S.A.,1984-01-01,2007-09-28,23.74
Devil’s Arcade,2007-01-01,2007-09-28,0.74
The Rising,2002-01-01,2007-09-28,5.74
Last to Die,2007-01-01,2007-09-28,0.74
Long Walk Home,2007-01-01,2007-09-28,0.74
Badlands,1978-01-01,2007-09-28,29.74
Waitin’ on a Sunny Day,2002-01-01,2007-09-28,5.74
Born to Run,1975-01-01,2007-09-28,32.74
Radio Nowhere,2007-01-01,2007-09-25,0.73
Prove It All Night,1978-01-01,2007-09-25,29.73
Lonesome Day,2002-01-01,2007-09-25,5.73
Gypsy Biker,2007-01-01,2007-09-25,0.73
Magic,2007-01-01,2007-09-25,0.73
Night,1975-01-01,2007-09-25,32.73
She’s the One,1975-01-01,2007-09-25,32.73
Livin’ in the Future,2007-01-01,2007-09-25,0.73
The Promised Land,1978-01-01,2007-09-25,29.73
Darlington County,1984-01-01,2007-09-25,23.73
Born in the U.S.A.,1984-01-01,2007-09-25,23.73
Devil’s Arcade,2007-01-01,2007-09-25,0.73
The Rising,2002-01-01,2007-09-25,5.73
Last to Die,2007-01-01,2007-09-25,0.73
Long Walk Home,2007-01-01,2007-09-25,0.73
Badlands,1978-01-01,2007-09-25,29.73
Girls in Their Summer Clothes,2007-01-01,2007-09-25,0.73
Born to Run,1975-01-01,2007-09-25,32.73
Radio Nowhere,2007-01-01,2007-09-24,0.73
No Surrender,1984-01-01,2007-09-24,23.73
Gypsy Biker,2007-01-01,2007-09-24,0.73
Empty Sky,2002-01-01,2007-09-24,5.73
Something in the Night,1978-01-01,2007-09-24,29.73
Girls in Their Summer Clothes,2007-01-01,2007-09-24,0.73
Night,1975-01-01,2007-09-24,32.73
The Promised Land,1978-01-01,2007-09-24,29.73
Livin’ in the Future,2007-01-01,2007-09-24,0.73
Devil’s Arcade,2007-01-01,2007-09-24,0.73
Candy’s Room,1978-01-01,2007-09-24,29.73
She’s the One,1975-01-01,2007-09-24,32.73
Lonesome Day,2002-01-01,2007-09-24,5.73
My Hometown,1984-01-01,2007-09-24,23.73
The Rising,2002-01-01,2007-09-24,5.73
Last to Die,2007-01-01,2007-09-24,0.73
Long Walk Home,2007-01-01,2007-09-24,0.73
Born to Run,1975-01-01,2007-09-24,32.73
Darlington County,1984-01-01,2007-09-24,23.73
Terry’s Song,2007-01-01,2007-08-02,0.58
Cadillac Ranch,1980-01-01,2007-04-29,27.32
Cover Me,1984-01-01,2007-04-29,23.32
Spirit in the Night,1973-01-01,2007-04-29,34.32
Two Hearts,1980-01-01,2007-04-29,27.32
Rendezvous,2010-01-01,2007-04-29,-2.68
Brilliant Disguise,1987-01-01,2007-04-29,20.32
Further On (up the Road),2002-01-01,2007-04-29,5.32
Waitin’ on a Sunny Day,2002-01-01,2007-04-29,5.32
Talk to Me,2010-01-01,2007-04-29,-2.68
Darlington County,1984-01-01,2007-04-29,23.32
Man’s Job,1992-01-01,2007-04-29,15.32
Tenth Avenue Freeze‐Out,1975-01-01,2007-04-29,32.32
The Promised Land,1978-01-01,2007-04-05,29.26
Rosalita (Come Out Tonight),1973-01-01,2007-04-05,34.26
Rosalita (Come Out Tonight),1973-01-01,2007-04-05,34.26
Darlington County,1984-01-01,2006-12-12,22.95
Spirit in the Night,1973-01-01,2006-12-12,33.94
Waitin’ on a Sunny Day,2002-01-01,2006-12-12,4.94
Tenth Avenue Freeze‐Out,1975-01-01,2006-12-12,31.95
Darkness on the Edge of Town,1978-01-01,2006-12-02,28.92
Johnny 99,1982-01-01,2006-12-02,24.92
Atlantic City,1982-01-01,2006-12-02,24.92
Atlantic City,1982-01-01,2006-11-21,24.89
John Henry,2006-01-01,2006-11-21,0.89
Old Dan Tucker,2006-01-01,2006-11-21,0.89
Jesse James,2006-01-01,2006-11-21,0.89
For You,1973-01-01,2006-11-21,33.89
Mansion on the Hill,1982-01-01,2006-11-21,24.89
Erie Canal,2006-01-01,2006-11-21,0.89
My Oklahoma Home,2006-01-01,2006-11-21,0.89
If I Should Fall Behind,1992-01-01,2006-11-21,14.89
Mrs. McGrath,2006-01-01,2006-11-21,0.89
Jacob’s Ladder,2006-01-01,2006-11-21,0.89
The River,1980-01-01,2006-11-21,26.89
Open All Night,1982-01-01,2006-11-21,24.89
Pay Me My Money Down,2006-01-01,2006-11-21,0.89
My City of Ruins,2002-01-01,2006-11-21,4.89
Blinded by the Light,1973-01-01,2006-11-21,33.89
We Shall Overcome,2006-01-01,2006-11-21,0.89
Atlantic City,1982-01-01,2006-11-19,24.88
John Henry,2006-01-01,2006-11-19,0.88
Old Dan Tucker,2006-01-01,2006-11-19,0.88
The Ghost of Tom Joad,1995-01-01,2006-11-19,11.88
Jesse James,2006-01-01,2006-11-19,0.88
Further On (up the Road),2002-01-01,2006-11-19,4.88
Erie Canal,2006-01-01,2006-11-19,0.88
For You,1973-01-01,2006-11-19,33.88
My Oklahoma Home,2006-01-01,2006-11-19,0.88
If I Should Fall Behind,1992-01-01,2006-11-19,14.88
Mrs. McGrath,2006-01-01,2006-11-19,0.88
Jacob’s Ladder,2006-01-01,2006-11-19,0.88
Long Time Comin’,2005-01-01,2006-11-19,1.88
Jesus Was an Only Son,2005-01-01,2006-11-19,1.88
Open All Night,1982-01-01,2006-11-19,24.88
Pay Me My Money Down,2006-01-01,2006-11-19,0.88
We Shall Overcome,2006-01-01,2006-11-19,0.88
Blinded by the Light,1973-01-01,2006-11-19,33.88
Old Dan Tucker,2006-01-01,2006-11-18,0.88
John Henry,2006-01-01,2006-11-18,0.88
Johnny 99,1982-01-01,2006-11-18,24.88
Jesse James,2006-01-01,2006-11-18,0.88
Bobby Jean,1984-01-01,2006-11-18,22.88
If I Should Fall Behind,1992-01-01,2006-11-18,14.88
My Oklahoma Home,2006-01-01,2006-11-18,0.88
Highway Patrolman,1982-01-01,2006-11-18,24.88
Mrs. McGrath,2006-01-01,2006-11-18,0.88
Jacob’s Ladder,2006-01-01,2006-11-18,0.88
The River,1980-01-01,2006-11-18,26.88
Open All Night,1982-01-01,2006-11-18,24.88
Pay Me My Money Down,2006-01-01,2006-11-18,0.88
You Can Look (but You Better Not Touch),1980-01-01,2006-11-18,26.88
Atlantic City,1982-01-01,2006-11-17,24.88
John Henry,2006-01-01,2006-11-17,0.88
Old Dan Tucker,2006-01-01,2006-11-17,0.88
Further On (up the Road),2002-01-01,2006-11-17,4.88
Jesse James,2006-01-01,2006-11-17,0.88
Growin’ Up,1973-01-01,2006-11-17,33.88
If I Should Fall Behind,1992-01-01,2006-11-17,14.88
Erie Canal,2006-01-01,2006-11-17,0.88
My Oklahoma Home,2006-01-01,2006-11-17,0.88
Devils & Dust,2005-01-01,2006-11-17,1.88
Mrs. McGrath,2006-01-01,2006-11-17,0.88
Jacob’s Ladder,2006-01-01,2006-11-17,0.88
Long Time Comin’,2005-01-01,2006-11-17,1.88
Open All Night,1982-01-01,2006-11-17,24.88
Pay Me My Money Down,2006-01-01,2006-11-17,0.88
My City of Ruins,2002-01-01,2006-11-17,4.88
Blinded by the Light,1973-01-01,2006-11-17,33.88
You Can Look (but You Better Not Touch),1980-01-01,2006-11-17,26.88
Blinded by the Light,1973-01-01,2006-11-14,33.87
John Henry,2006-01-01,2006-11-14,0.87
Old Dan Tucker,2006-01-01,2006-11-14,0.87
Adam Raised a Cain,1978-01-01,2006-11-14,28.87
The River,1980-01-01,2006-11-14,26.87
Jesse James,2006-01-01,2006-11-14,0.87
Youngstown,1995-01-01,2006-11-14,11.87
Erie Canal,2006-01-01,2006-11-14,0.87
My Oklahoma Home,2006-01-01,2006-11-14,0.87
Atlantic City,1982-01-01,2006-11-14,24.87
Devils & Dust,2005-01-01,2006-11-14,1.87
Mrs. McGrath,2006-01-01,2006-11-14,0.87
Jacob’s Ladder,2006-01-01,2006-11-14,0.87
Growin’ Up,1973-01-01,2006-11-14,33.87
Open All Night,1982-01-01,2006-11-14,24.87
Pay Me My Money Down,2006-01-01,2006-11-14,0.87
You Can Look (but You Better Not Touch),1980-01-01,2006-11-14,26.87
Blinded by the Light,1973-01-01,2006-11-12,33.86
Does This Bus Stop at 82nd Street?,1973-01-01,2006-11-12,33.86
John Henry,2006-01-01,2006-11-12,0.86
Johnny 99,1982-01-01,2006-11-12,24.86
Further On (up the Road),2002-01-01,2006-11-12,4.86
Jesse James,2006-01-01,2006-11-12,0.86
Bobby Jean,1984-01-01,2006-11-12,22.86
Erie Canal,2006-01-01,2006-11-12,0.86
My Oklahoma Home,2006-01-01,2006-11-12,0.86
The River,1980-01-01,2006-11-12,26.86
Mrs. McGrath,2006-01-01,2006-11-12,0.86
Jacob’s Ladder,2006-01-01,2006-11-12,0.86
Long Time Comin’,2005-01-01,2006-11-12,1.86
Open All Night,1982-01-01,2006-11-12,24.86
Pay Me My Money Down,2006-01-01,2006-11-12,0.86
Land of Hope and Dreams,2012-01-01,2006-11-12,-5.14
You Can Look (but You Better Not Touch),1980-01-01,2006-11-12,26.86
